Prompt,Negative,Neutral,Positive,Compound
only only only only outline drawing with a pencil for a coloring page  beautiful majestic horse enjoying a peaceful trail ride through a meadow  meadow is in clean vector line art without any fill10  photorealism10  no no no no no no fill10  no no no no no no shadowing10  verry very very very clean lines with minimal variation in thickness  clear and distinct outlines without any overlapping or unnecessary lines10  black and white  very very very very very superrealistic  no filling betwen the clean line art10  an artist  ,0.251,0.562,0.186,-0.34
Retro illustration  empty white paper surrounded by fresh detailed spring flowers  cute pin up housewife style,0.09,0.647,0.264,0.5423
matrix agent smith portrait  background of the matrix and text below staing Agent GPT,0.0,1.0,0.0,0.0
meeting in the office  silhouettes of workers in the background of the window  city in windows  blue colors  simple illustration  vector illustration  flat colors   ,0.0,1.0,0.0,0.0
Professional looking photography of a girl  dancing  dark background  warm tone  long exposure  her motion creates creative blur in the background ExternalUrl ,0.0,0.723,0.277,0.7096
Doctor  handsome  mortarboard  glasses  magic wand  exaggerated expression  pixar style  best quality  ,0.079,0.506,0.416,0.7906
illustration for adult coloring book  simple clean line art  just a sitting cat   ,0.0,0.803,0.197,0.4019
a humanoid lizard wearing a samurai armour  holding a katana sword  sunset and mountains in the background  high resolution  highly detailed  mystical  dark fantasy  dark green and black tones  4k  Japanese watercolour style  realistic,0.0,1.0,0.0,0.0
abstract Paris design bookmark template,0.0,1.0,0.0,0.0
Abstract  futuristic background with colors  beige  relaxed  elegant  quality  hyper realistic 8k,0.0,0.613,0.387,0.743
a translucent  radiant figure in the shape of a human body  composed of shimmering  colorful energy representing an individuals unique character and personality  This figure is surrounded by a soft  glowing aura that reflects the persons spiritual essence  Inside the figures head  a small  luminous orb is suspended  symbolizing the seat of consciousness  self awareness  and decision making  This orb is connected to the rest of the radiant body by threads of light  representing the interplay between the physical and spiritual realms  The figure appears to be gently floating above the ground  evoking the eternal aspect of the soul and its ability to transcend the physical world  The background could feature various symbols or representations of the afterlife  reincarnation  or merging with a higher power  highlighting the diverse spiritual and religious beliefs about the souls journey beyond the physical body ,0.021,0.885,0.093,0.8591
picture of man in (27 years old  healthy body  average height about 1m75  black hair  white skin  The face has Asian characteristics  has a delicate face  double eyelids  high nose  slightly pointed chin ) television  ,0.0,0.888,0.112,0.4404
melting 3d face scupture  color burst  inside wide museum  photorealitic  ,0.0,1.0,0.0,0.0
a grey blue elephant  the elephant is squinting  elephant wear a cap with a multicolor propeller  elephant is funny  backround is a jungle  cartoon style  cartoon caracter  ,0.0,0.837,0.163,0.4767
Glass bottles with CBD full hd background,0.0,1.0,0.0,0.0
SDGs logo  blue navy  clear blue   minimalist,0.0,0.698,0.302,0.3818
ExternalUrl    24 years old man  Buzz Cut Style   goatee  sunglasses   Silver Chain  black t shirt  Reunion of man  portrait  cyberpunk  abstract  full hd render + 3d octane render + 4k UHD + immense detail + dramatic lighting + well lit + black  purple  blue  pink  cerulean  teal  glow metallic colors  + fine details + hyper realistic + 8k  ,0.041,0.882,0.076,0.2023
digital visualization of flap jack into the adventure time universe as horror movie adults playing cards sitting on the moon with princess bubblegum,0.133,0.719,0.147,-0.1531
ExternalUrl  this woman but holding a pencil,0.0,1.0,0.0,0.0
cute whimsical seashell and starfish wallpaper background,0.0,0.538,0.462,0.5106
lofi beats to chill study to but its skrillex instead,0.0,1.0,0.0,0.0
brand logo for MMDK   fortune cat   embroidered style  high end fashion style,0.0,1.0,0.0,0.0
The future pillow is made of several layers of 30cm x 60cm x 5mm sheets  These sheet materials can be added or removed as needed  She carefully performs the task  aiming to provide comfort and support tailored to the patient ,0.0,0.839,0.161,0.6908
cats listening to headphones in meditation  sacred geometry  binaural sounds,0.0,1.0,0.0,0.0
Minimal curved bracelet  18 carat gold for women  with peacock feather design  light weight  with malachite stone ,0.0,1.0,0.0,0.0
carth weel summer with white and pink flowers,0.0,1.0,0.0,0.0
far down a forest trail you see a giant mountain range  dark clouds overhead,0.0,1.0,0.0,0.0
American diners in the 1930s  night lights  colorful  perspectives  8k  restaurants  photorealistic representation,0.0,1.0,0.0,0.0
A lighthouse shining its beam on a specific group of African sailors navigating the sea  guiding them safely to shore ,0.0,0.842,0.158,0.4939
16 years old jaime lannister sit the iron throne and watch the old dead king on the ground  at the kings great hall  high throne at the top of the stairs  oil painting  alla prima  zin lim style  thick brush strokes  canvas texture  golden color palette  cream color palette   impressionist,0.074,0.79,0.136,0.3818
white room with seventeen school desks and black board,0.0,1.0,0.0,0.0
Photo of metahuman avatar friendly face wearing Royal Navy recruit uniform in submarine  ,0.0,0.789,0.211,0.4939
ExternalUrl  this in pink pop color  ,0.0,1.0,0.0,0.0
coloring page for kids  style of coloring book  a lineal icon  a baby elephant wearing santa cap  on white background  vector illustration by flaticon and dribble  behance hd  made in figma  adobe xd  sketch  ux  ui  ux/ui  crisp and pixel perfect design  black and white  minimalism  flat colored outline icon style  simplistic design ,0.0,0.867,0.133,0.8176
burning dice  black empty space  ,0.31,0.69,0.0,-0.2023
gay fit man in swimshorts sitting on a dock kissing another young fit man overlooking a small pond with water lillies and austrian landscape in the background  instagram blogger photographic style,0.0,0.749,0.251,0.8271
Ukiyoe Block Print of a Raccoon Priest by Winsor Mccay  Full Color  Ghibli Style  Manga  Vector Art  Cartoon  Simple  Graphic Design  Gold Accents  cinematic lighting  8k resolution  ,0.104,0.896,0.0,-0.4404
Black and white vector graphic image of a raccoon hijacking a food truck  circular logo  white background  thick simple lines  ,0.0,1.0,0.0,0.0
Spiritual style macro view photograph  Kodak Portra 400  Nikon 100mm f/2 8  1/60 mud  a white pigeon is sitting on burnt birch branches  a smashed leopard tank is smoking in the background  the grass is withered spring  photorealistic style  ultra realistic  wide lens  cinematic lighting  extremely detailed  ,0.0,1.0,0.0,0.0
ExternalUrl  a council of rotten living dead  skeletons in medieval armours and dark hooded figures is taking place in a ruined church  tarot card  ornate boarder  black metal album  8k  high resolution  by francisco de goya2 2  ,0.257,0.743,0.0,-0.8934
2023 screengrab of 4 actors baking in a kitchen 2  They are wearing flat toned outfits  Grandfather  grandmother  grandson  granddaughter  The boy in the image is throwing happy flour in the air! They have lots of fun doing this  comedy movie scene  wide shot  christmas commercial  wide shot  35mm  morning light  shot on a hasselblad  ,0.0,0.831,0.169,0.8687
real image of a tricolor pirate cat with peg leg sailing through stormy sea ,0.0,1.0,0.0,0.0
give me a picture a ransomware attack on a data center infrastructure with admins panicking and running around,0.316,0.684,0.0,-0.7184
french regiment emblem,0.0,1.0,0.0,0.0
ExternalUrl   15 years old girl  super details face  delicate eyes  delicate facial features  long brown hair  black dress  3 D  8 K  studio lighting  light color  ultra HD  portrait  league of legends  Pokemon  futuristic   ,0.0,0.811,0.189,0.6486
ExternalUrl  ExternalUrl ,0.0,1.0,0.0,0.0
Spiritual style macro view photograph  Kodak Portra 400  Nikon 100mm f/2 8  1/60 mud  a puddle  a field  traces of a tank  a trench  an iPhone 13 is lying in the mud  cartridge cases are scattered nearby  a part of a Kalashnikov assault rifle is visible in the frame  the grass is withered spring  photorealistic style  ultra realistic  wide lens  cinematic lighting  extremely detailed  ,0.116,0.884,0.0,-0.802
create a realistc image of a curious African professional throwing cooked spaghetti on the wall and hoping something sticks ,0.0,0.66,0.34,0.7351
A fried chicken thigh with a black surface and drizzled with pink sauce looks delicious  ,0.0,0.764,0.236,0.5719
nonstandart photozone for visitors  Made from mirrors and transparent materials  Maybe in form of swings  With branding LOGO,0.0,1.0,0.0,0.0
ExternalUrl  animated cartoon charater looking like this person with same round glasses and hair style,0.0,0.848,0.152,0.3612
ExternalUrl  very simple panda shaped teabag,0.0,1.0,0.0,0.0
closeup shot of skin  shimmering under studio lights,0.0,1.0,0.0,0.0
ExternalUrl   15 years old girl  depth of field  super details face  ultra realistic  delicate eyes  delicate facial features  long dark brown hair  3 D  8 K  indoor lighting  light color  ultra HD  portrait  league of legends  Pokemon  futuristic   ,0.0,0.831,0.169,0.6486
fashion editoral  hong kong  tempo street  full body  slipknot mask   ,0.0,1.0,0.0,0.0
hong kong cityscape  big bay area  bridging over  bright day light  ultra hd  grandiose  national identity,0.0,0.838,0.162,0.4404
bakery with bread  light brown motif  simple,0.0,1.0,0.0,0.0
ExternalUrl  overgrown  plants and trees inside and growing inbetween the concrete  ivy climbing on the concrete  plants and trees everywhere  ,0.0,0.918,0.082,0.1779
a watercolor illustration of paris france ar ,0.0,1.0,0.0,0.0
kids playing in fun zone 8k  hdr   ,0.0,0.495,0.505,0.6249
architecture visualization of a glass with bent steel structure forming a flower  covered by flowers  surrounded by pastel color forest  Dreamy  mystic  hyperrealism  photorealistic render  hyperrealistic  photo cinematic  raytracing reflections  8K ultra HD  ,0.0,1.0,0.0,0.0
Attractive middle aged woman with a hearing aid listens to the sound of the environment and is looking very happy and relaxed  Warm cineamtic lighting  Shot with Hasselblad X2D 100C  objective 30 mm lens  f 22  1/1000 second  backlighting  ,0.0,0.729,0.271,0.9053
stylized  3D  RPG game  bright colors  coins  knight  medieval  strategy  mobile game   unreal engine 5  4K  ExternalUrl ,0.0,0.838,0.162,0.4404
combine these concepts  concept art style  ExternalUrl ExternalUrl,0.0,1.0,0.0,0.0
beautiful  fantasy city unreal engine octane render style 8k  ,0.0,0.672,0.328,0.5994
dj logo  stylized cheesecake slice  simple heart  neon style,0.0,1.0,0.0,0.0
mechanical part with two representation styles  one hyper realistic and one transparent CAE mesh  ,0.0,1.0,0.0,0.0
young Maïko  kneeling doing her make up  in a sober room with tatami mats  3D blender  ,0.0,1.0,0.0,0.0
A brunette woman  seen from behind  is kneeling on a kitchen countertop face in front of the wall and is in the process of grouting brick veneer  Seen from lower,0.075,0.925,0.0,-0.296
ExternalUrl  v 5,0.0,1.0,0.0,0.0
method man from Wu tang clan dressed as a high priest performing an exorcism on a giant blue llama ,0.0,1.0,0.0,0.0
3D printed model of Skoleparken in Esbjerg,0.0,1.0,0.0,0.0
Giving yourself wholly to God  but dont make it religious,0.0,0.711,0.289,0.3071
firery gold ring with 40 diamonds on the ring and black jesus in the center of the ring,0.0,1.0,0.0,0.0
create a photorealistic render where there is an architectonic structure  In this structure  the AI and human people work together to live better and have sustainable and ecologic urban society  ,0.0,0.844,0.156,0.6124
cathedral by Claude Monet  ,0.0,1.0,0.0,0.0
The image of a 28 year old marketing manager in a suit,0.0,1.0,0.0,0.0
Imagine an eye catching background image for an apparel sale that radiates fun and excitement  featuring a multitude of trendy apparel items playfully floating in mid air  The backdrop is a bold  gradient color scheme that complements the lively assortment of stylish clothing and accessories  such as chic dresses  fashionable shirts  trendy pants  and eye catching jewelry  The well lit composition and vivid colors create an inviting and energetic atmosphere  encouraging viewers to explore the sale and discover their perfect spring wardrobe additions ,0.0,0.675,0.325,0.9837
